"","run_id","region","rc","rd","ld","hd","lc","hc","foii","wh1","wh2","wh3","wh4","wl1","wl2","wl3","wl4","dd1","dd2","dr1","dr2","bd1","bd2","bd3","bd4","bd5","bd6","bd7","br","wv1","wv2","wv3","wv4","cfr1","cfr2","cfr3","cfr4","cfr5","cfr6","ve"
"37",37,"hyper",0.201857074,0.682788699,0.946249321,0.964184449,0.190361977,0.886470434,4.96e-07,0.01997756,0.007841701,0.009837359,0.001164893,0.002343675,0.000803205,0.000794794,0.000478773,0.001925024,-9.49e-08,0.001901378,-9.99e-08,0.035163966,0.06051262,0.144814861,0.145973864,0.07053136,0.161214891,0.255719567,0.363999489,0,0.001322422,0.001322422,0.001322422,0.11,0.0943181818181818,0.0881818181818182,0.0872727272727273,0.0854545454545454,0.121969696969697,0.91
"38",38,"hyper",0.209339701,0.740586152,0.862138288,0.927353825,0.233783666,0.701092552,8.47e-07,0.011016832,0.00572705,0.008576796,0.001898964,0.003095965,0.000555642,0.00052735,0.000666185,0.001914135,-1.07e-07,0.001944497,-9.99e-08,0.035344615,0.070847699,0.147713008,0.093190545,0.102732185,0.165756002,0.261018083,0.356860429,0,0.001322422,0.001322422,0.001322422,0.115,0.0954545454545455,0.0790909090909091,0.08,0.0727272727272727,0.125909090909091,0.916
"39",39,"hyper",0.209978366,0.689904801,0.826896066,0.983330282,0.150416987,0.742953441,9.5e-07,0.019720992,0.00545294,0.008150211,0.000726912,0.003325226,0.000608645,0.000928811,0.00050375,0.001945167,-1.06e-07,0.001933863,-1.06e-07,0.035913211,0.073801527,0.127503504,0.143089723,0.120167712,0.143860872,0.261949512,0.373097364,0,0.001322422,0.001322422,0.001322422,0.07,0.0954545454545455,0.0781818181818182,0.0872727272727273,0.0763636363636364,0.116363636363636,0.908
"40",40,"hyper",0.201768254,0.702752307,0.907696378,0.972450446,0.18677928,0.869658187,8.68e-07,0.01369404,0.004792911,0.007162403,0.00080362,0.003749976,0.000862154,0.000636884,0.000247407,0.001900482,-9.59e-08,0.001940197,-9.6e-08,0.035207191,0.09888214,0.103634005,0.131715632,0.119775618,0.168132051,0.208670957,0.404694545,0,0.001322422,0.001322422,0.001322422,0.135,0.110227272727273,0.0963636363636364,0.0927272727272727,0.0809090909090909,0.125606060606061,0.894
"41",41,"hyper",0.213329951,0.699190149,0.747608771,0.953508675,0.211005733,0.833234229,4.53e-07,0.016054391,0.006385259,0.004753466,0.001714384,0.002637731,0.000791574,0.000556567,0.000210147,0.001930496,-9.88e-08,0.001928425,-9.56e-08,0.030931149,0.068298138,0.132829888,0.135192046,0.104307629,0.198612022,0.24196847,0.357446635,0,0.001322422,0.001322422,0.001322422,0.12,0.105681818181818,0.0772727272727273,0.0954545454545455,0.0727272727272727,0.125606060606061,0.876
"42",42,"hyper",0.207804722,0.748834978,0.926000761,0.975509285,0.228726042,0.836749902,9.09e-07,0.011464825,0.007132868,0.007295835,0.001202619,0.003759013,0.000676341,0.000595459,0.000184924,0.001921275,-9.45e-08,0.001869034,-9.97e-08,0.034510723,0.094870399,0.105411186,0.145498205,0.124689954,0.173134797,0.20895127,0.373467134,0,0.001322422,0.001322422,0.001322422,0.1,0.0875,0.0990909090909091,0.0909090909090909,0.0690909090909091,0.119393939393939,0.906
"43",43,"hyper",0.173926649,0.606003831,0.924816404,0.99478006,0.17310197,0.812413523,8.21e-07,0.00541186,0.008053018,0.003458393,0.00176614,0.003384644,0.00056661,0.000658492,0.000363143,0.001855717,-1.08e-07,0.00187103,-9.28e-08,0.030882884,0.095625426,0.039707142,0.143658873,0.039590683,0.162279242,0.19901431,0.355251739,0,0.001322422,0.001322422,0.001322422,0.14,0.114772727272727,0.0881818181818182,0.0772727272727273,0.0772727272727273,0.126060606060606,0.9
"44",44,"hyper",0.200175466,0.653956584,0.757839868,0.932135335,0.18478741,0.857251762,9.53e-07,0.013558015,0.004039949,0.008370133,0.000732855,0.002046054,0.000882853,0.000827656,0.000508552,0.001885342,-1.01e-07,0.001916395,-1e-07,0.033016094,0.049860761,0.09347986,0.14008942,0.129816599,0.192080272,0.268880888,0.376878575,0,0.001322422,0.001322422,0.001322422,0.125,0.0897727272727273,0.0772727272727273,0.0954545454545455,0.0681818181818182,0.121969696969697,0.892
"45",45,"hyper",0.205561153,0.597805837,0.877957926,0.980813488,0.276302933,0.818248586,4.86e-07,0.007743719,0.004924328,0.00287596,0.001787164,0.003909137,0.00099508,0.000976037,0.00016834,0.001933743,-1.06e-07,0.001858006,-1.04e-07,0.036977436,0.069716046,0.124407068,0.138324938,0.115945954,0.182044152,0.174624252,0.380497289,0,0.001322422,0.001322422,0.001322422,0.135,0.0954545454545455,0.0781818181818182,0.0818181818181818,0.0563636363636364,0.120454545454545,0.902
"46",46,"hyper",0.194799072,0.648679453,0.821273598,0.956800938,0.155812464,0.882286193,4.19e-07,0.010286574,0.009120424,0.005593516,0.00136233,0.003329791,0.00086151,0.000767704,0.000180096,0.001891048,-9.44e-08,0.001894813,-9.4e-08,0.034644822,0.073098299,0.051582742,0.144720196,0.088888746,0.169519744,0.264471338,0.350377085,0,0.001322422,0.001322422,0.001322422,0.115,0.0829545454545455,0.0863636363636364,0.0845454545454545,0.0890909090909091,0.123484848484848,0.904
